star_name,TSS_tier,ra,dec,sy_pmra,sy_pmdec,tic_id,gaia_dr3_id,hip_name,hd_name,tm_name,gj_name,simbad_name,sy_plx,sy_dist,st_lum,sy_vmag
TIC 172954294,1,150.25273658102,31.92367134551,-528.8706141097352,-429.37565915124185,172954294,746545172372256384,49081,HD 86728,2MASS J10010072+3155262,GJ 376 A,*  20 LMi,66.99581320003026,14.920907974243164,0.1366317905574808,5.38
TIC 96745915,1,265.09927299593,-49.41558447474,103.68534600810366,-175.95641378737966,96745915,5946685759563224960,86486,HD 160032,2MASS J17402381-4924560,GJ 9597,* lam Ara,47.70449668181444,20.938072204589844,0.6462970717496438,4.77
TIC 57611256,1,173.62285964019,-32.8313389866,-670.2301626896037,822.3992428347119,57611256,3478127463341507072,56452,HD 100623,2MASS J11342953-3249533,GJ 432 A,*  20 Crt,104.6132883058554,9.55638599395752,-0.4304365509039735,5.98
TIC 202380743,1,209.38357988951,61.49286093075,-31.69308288457748,216.28964345867445,202380743,1661568850770761600,68184,HD 122064,2MASS J13573203+6129343,null,HD 122064,99.3324946213853,10.064767837524414,-0.5368380578236214,6.497
TIC 155315739,1,346.46681583515,-35.85307166021,6765.995136250774,1330.2852747179843,155315739,6553614253923452800,114046,HD 217987,2MASS J23055131-3551130,GJ 887,HD 217987,304.1353692001036,3.2877254486083984,-1.383805418313434,7.39
TIC 261136679,1,84.29118799799,-80.46911979699,310.9088263686165,1049.0604902495015,261136679,4623036865373793408,26394,HD 39091,2MASS J05370988-8028090,GJ 9189,* pi. Men,54.682509087903306,18.292938232421875,0.1866479837304161,5.67
TIC 97402436,1,332.53658471679,-32.54840986277,428.8323874753169,13.47523121061188,97402436,6612242034982766848,109422,HD 210302,2MASS J22100875-3232544,GJ 9770,* tau PsA,54.17726137421472,18.44866180419922,0.470041010176321,4.92
TIC 302158903,1,41.04995061767,49.22845067103,334.70816467359896,-89.25073359566134,302158903,438829629114680704,12777,HD 16895,2MASS J02441197+4913423,GJ 107 A,* tet Per,89.68495177109118,11.143680572509766,0.3663017011577709,4.11
TIC 419015728,1,26.01704803456,-15.93748188539,-1721.7277944720731,854.9631570589582,419015728,2452378776434477184,8102,HD 10700,2MASS J01440402-1556141,GJ 71.0,* tau Cet,273.80974511859966,3.652167797088623,-0.2843083618745233,3.5
TIC 389198736,1,302.79974369042,-36.10120932251,458.8817384974883,-1576.7321098687532,389198736,6697578465310949376,99461,null,2MASS J20111207-3606063,GJ 783,IRAS 20079-3614,166.3272042796776,6.011000633239746,-0.5854752764556453,5.32
TIC 189576919,1,24.19934213464,41.40546330856,-171.89184082707104,-381.8151588992299,189576919,348020482735930112,7513,HD 9826,2MASS J01364784+4124200,GJ 61,* ups And,74.19396780666189,13.467429161071776,0.5294213788097795,4.1
TIC 159746875,1,319.31361874396,-38.8673642818,-3258.966218702396,-1145.8623969124255,159746875,6583272171336048640,105090,HD 202560,2MASS J21171534-3852022,GJ 825,V* AX Mic,251.9124222107058,3.9691498279571538,-0.9806391893582184,6.68
TIC 75946144,1,272.40590122178,38.45777670113,-316.45442321519323,-468.3476190825831,75946144,4610177733290768896,88972,HD 166620,2MASS J18093745+3827288,GJ 706,HD 166620,90.12337582042169,11.092915534973145,-0.4399857938653019,6.4
TIC 434210589,1,9.84085629816,21.25047668048,-461.94828899560946,-369.6242681666145,434210589,2802397960855105920,3093,HD 3651,2MASS J00392187+2115024,GJ 27,*  54 Psc,90.02481648583029,11.102668762207031,-0.276561977463799,5.88
TIC 52194638,1,18.94206998325,-68.87599203998,413.47961478401,116.03664131633552,52194638,4692263148249862016,5896,HD 7788,2MASS J01154602-6852331,GJ 55.3,* kap Tuc,42.99118967176437,23.28750991821289,0.6755005857774371,4.25
TIC 113710966,1,25.6240145562,20.26851673511,-300.73691840079994,-673.5388952717276,113710966,96331172942614528,7981,HD 10476,2MASS J01422977+2016073,GJ 68.0,* 107 Psc,130.823369060264,7.641392230987549,-0.3390952477711816,5.24
TIC 453620177,1,156.09876313222,-74.0316113014,-15.398854901458186,-28.433029596019335,453620177,5205029672996886016,50954,HD 90589,2MASS J10242373-7401536,GJ 391,* I Car,61.434166275104715,16.278682708740234,0.720430250553934,4.01
TIC 445070560,1,197.96832116614,27.87818300476,-800.7201020745798,882.3013237846035,445070560,1460229442589223424,64394,HD 114710,2MASS J13115238+2752411,GJ 502,* bet Com,108.72500920524958,9.195765495300291,0.1519345194996586,4.25
TIC 231005052,1,24.94818719996,-56.19644755727,309.22982585737077,10.815266219876031,231005052,4911306239828325760,7751,HD 10361,2MASS J01394755-5611471,GJ 66 A,* p Eri B,122.00347235303984,8.196051597595215,-0.5162107736900803,5.797
TIC 265488188,1,321.61085340482,-65.36620069837,80.81524728416929,800.5726893856181,265488188,6401464693867773568,105858,HD 203608,2MASS J21262662-6521578,GJ 827,* gam Pav,108.01020563892784,9.25531768798828,0.1646015626185387,4.22
TIC 362661163,1,266.03626514254,-51.8340530677,-15.03365551054608,-190.90057499776287,362661163,5945941905576552064,86796,HD 160691,2MASS J17440870-5150027,GJ 691.0,* mu. Ara,64.08529417744371,15.59627914428711,0.2783778217540331,5.15
TIC 359981217,1,291.24250100366,11.94441175229,721.2921943048541,642.9684532716341,359981217,4315804351350378496,95447,HD 182572,2MASS J19245822+1156401,GJ 759,* b Aql,67.01526888035684,14.91238498687744,0.2306267680384714,5.171
TIC 95431211,1,154.93403045693,19.47091681683,-230.58855862256328,-214.06858993367928,95431211,624684408880100992,50564,HD 89449,2MASS J10194419+1928157,GJ 9324,*  40 Leo,47.12548973212048,21.19847297668457,0.6420051438988995,4.781
TIC 219709102,1,137.59811621838,67.13402175058,13.118896132255593,-87.8814638931786,219709102,1068982214258617216,45038,HD 78154,2MASS J09102351+6708030,GJ 335,* sig02 UMa,48.740394987611786,20.497400283813477,0.6054974935920727,4.8
TIC 417762326,1,129.79876802679,65.02090785384,-27.274471017671917,87.88083046986,417762326,1092545710514654464,42438,HD 72905,2MASS J08391162+6501151,GJ 311,* pi.01 UMa,69.2575995687921,14.433260917663574,-0.0124904899205469,5.64
TIC 105999792,1,300.90585377771,29.89680425888,683.1962193381917,-525.5010370094575,105999792,2029433521248546304,98767,HD 190360,2MASS J20033732+2953493,GJ 9683,HD 190360,62.48650893182535,15.993935585021973,0.0657675087708437,5.738
TIC 24467943,1,349.17626172129,53.21347619028,112.46137752821828,-236.5536757171971,24467943,1995681125599758592,114924,HD 219623,2MASS J23164228+5312489,GJ 4324,HD 219623,48.51966055563636,20.599468231201172,0.3126727733769597,5.584
TIC 46125330,1,93.71198132025,19.1564474003,-97.6083565897556,-182.44758058610475,46125330,3374052988354372992,29650,HD 43042,2MASS J06145088+1909229,GJ 3390,*  71 Ori,45.921441107574594,21.775680541992188,0.5045999901452374,5.192
TIC 9728611,1,260.16486474837,32.46774369393,135.8104459559967,-1040.952821790978,9728611,1333760419707327744,84862,HD 157214,2MASS J17203955+3228056,GJ 672,* w Her,68.55754109923836,14.576581954956056,0.1128727645891982,5.39
TIC 269995013,1,311.52388516972,-25.27089743585,-52.55701227563161,-156.93466239980756,269995013,6805455124526007424,102485,HD 197692,2MASS J20460572-2516153,GJ 805,* psi Cap,68.33702615446357,14.62600803375244,0.5710160808299531,4.122
TIC 38511251,1,55.81207850254,-9.76338198694,-93.63405683015571,744.3603877012735,38511251,5164120762333028736,17378,HD 23249,2MASS J03431490-0945490,GJ 150.0,* del Eri,110.02539078597692,9.088221549987791,0.5175558047440915,3.54
TIC 408842743,1,297.75684898287,10.41572088317,241.71285307318405,-136.6945085973383,408842743,4303294039306246656,97675,HD 187691,2MASS J19510166+1024567,GJ 9671 A,* omi Aql,51.31327446246717,19.475486755371097,0.4503643847516189,5.117
TIC 343813545,1,49.8404000195,3.37019372145,269.2979397635821,93.95652212078689,343813545,3269362645115584640,15457,HD 20630,2MASS J03192169+0322126,GJ 137,* kap01 Cet,107.8023393880993,9.271559715270996,-0.0547820813930149,4.85
TIC 1101124559,1,222.84601832209,19.10191155739,133.37604517724114,-182.0591844077652,1101124559,1237090738916392832,null,HD 131156B,null,GJ 566 B,* ksi Boo B,148.17931678941665,6.746701240539551,-0.8946986447149193,6.816
TIC 79454735,1,258.83659901326,-26.60170004688,-498.6001998992269,-1149.1581425021811,79454735,4109030160308320128,84405,null,2MASS J17152095-2636064,null,*  36 Oph,168.003078856296,5.952195167541504,-0.4758082860005175,4.33
TIC 454082369,1,176.62946664353,-40.50035554999,-1530.9705104799332,403.2865748639044,454082369,5381537023379295232,57443,HD 102365,2MASS J11463107-4030013,GJ 442 A,HD 102365,107.3024338562276,9.318137168884276,-0.070969537094298,4.88
TIC 309599261,1,178.2448645626,37.71868203701,4002.654640989075,-5817.8001940492695,309599261,4034171629042489088,57939,HD 103095,2MASS J11525880+3743060,GJ 451,HD 103095,109.02963997046682,9.168479919433594,-0.6292184872505626,6.45
TIC 285544488,1,13.26748285421,61.12397272637,-68.29788024616091,169.4350591237973,285544488,427322415301550208,4151,HD 5015,2MASS J00530419+6107262,GJ 41,HD   5015,52.901729475880146,18.896150588989254,0.558426819809911,4.8
TIC 389853353,1,191.24752111167,39.27891619738,-359.69874606984007,139.01619673413714,389853353,1521686782461765888,62207,HD 110897,2MASS J12445938+3916441,GJ 484,*  10 CVn,56.95876286948424,17.54538345336914,0.0376505622116742,5.95
TIC 437886584,1,94.11091158018,12.27216415222,82.77514649355062,186.48042272707457,437886584,3331979901042416512,29800,HD 43386,2MASS J06162660+1216194,GJ 9207,* k Ori,51.051817618826355,19.57585906982422,0.4731101072630361,5.04
TIC 30293512,1,198.01326383238,-37.80302201689,-382.4089871627526,46.14661309553502,30293512,6141742283401003264,64408,HD 114613,2MASS J13120320-3748110,GJ 9432,HD 114613,48.86914429672608,20.446475982666016,0.6325412005249248,4.85
TIC 283722336,1,348.32072823827,57.16835458729,2074.413511999184,294.4519772796575,283722336,2009481748875806976,114622,HD 219134,2MASS J23131692+5710059,GJ 892,HD 219134,152.86400389732427,6.540009021759033,-0.5381250947794866,5.57
TIC 238432056,1,1.65326704382,29.02150289093,380.1592537624844,-177.729603753582,238432056,2860924621205256704,544,HD 166,2MASS J00063674+2901175,GJ 5,HD    166,72.64189108452184,13.758092880249023,-0.1898614487769318,6.07
TIC 403585118,1,304.38053447853,66.85368932444,468.6837090609632,297.58896862597277,403585118,2246581329639103872,100017,HD 193664,2MASS J20173128+6651130,GJ 788,HD 193664,57.20405217305612,17.47551727294922,0.0467731401624371,5.929
TIC 165602023,1,316.7302669179,38.74204503561,4105.976428209489,3155.9416398273515,165602023,1872046574983497216,104217,HD 201092,2MASS J21065473+3844265,GJ 820 B,*  61 Cyg B,286.0053518616485,3.4960672855377197,-0.9816762724754284,6.03
TIC 62569281,1,133.5747790872,-5.43445735783,-413.6476444734453,30.618611405101216,62569281,5760701787150565888,43726,HD 76151,2MASS J08541798-0526040,GJ 327,HD  76151,59.35951989622318,16.836626052856445,-0.0129678344123867,6.0
TIC 279649049,1,49.55341078951,-62.50636587079,1331.0270879085913,647.7253950157487,279649049,4722135642226902656,15371,HD 20807,2MASS J03181281-6230230,GJ 138,* zet02 Ret,83.06064664354982,12.038984298706056,0.007107385890293,5.228
TIC 72748794,1,34.74376955275,-25.94568706109,-217.73410596933036,444.6088895515635,72748794,5117974602912370432,10798,HD 14412,2MASS J02185853-2556451,GJ 95,HD  14412,77.91401913043707,12.832074165344238,-0.3507381857510135,6.34
TIC 150796339,1,118.06526170048,-34.70544382828,-198.096070311671,238.81180023957108,150796339,5593584059914156800,38423,HD 64379,2MASS J07521555-3442199,null,* 212 Pup,54.563099523190026,18.32092666625977,0.4077871338113886,5.01
